"INTEGRATIONNAME"~|~"ARCHIVENAME"~|~"PROGRAMNAME"~|~"ARTIFACTTYPE"~|~"ATTRIBUTENAME"
"ADI_AutoEncoder_Translation_Service"~|~"ADI_AutoEncoder_Translation_Service.ear"~|~"MRL"~|~"BW"~|~"description"
"ADI_AutoEncoder_Translation_Service"~|~"ADI_AutoEncoder_Translation_Service.ear"~|~"MRL"~|~"BW"~|~"repoInstanceName"
"ADI_MRL_SAMIDService"~|~"ADI_MRL_SAMIDService.ear"~|~"MRL"~|~"BW"~|~"ADBScriptFileDir"
"ADI_MRL_SAMIDService"~|~"ADI_MRL_SAMIDService.ear"~|~"MRL"~|~"EMS"~|~"App_Create_Queue"
"ADI_MRL_SAMIDService"~|~"ADI_MRL_SAMIDService.ear"~|~"MRL"~|~"UNIX"~|~"App_Folder"
"ADI_MRL_SAMIDService"~|~"ADI_MRL_SAMIDService.ear"~|~"MRL"~|~"EMS"~|~"App_Modify_Queue"
"ADI_MRL_SAMIDService"~|~"ADI_MRL_SAMIDService.ear"~|~"MRL"~|~"BW"~|~"BW_GLOBAL_TRUSTED_CA_STORE"
"ADI_MRL_SAMIDService"~|~"ADI_MRL_SAMIDService.ear"~|~"MRL"~|~"BW"~|~"DirLedger"
"ADI_MRL_SAMIDService"~|~"ADI_MRL_SAMIDService.ear"~|~"MRL"~|~"BW"~|~"DirTrace"
"ADI_MRL_SAMIDService"~|~"ADI_MRL_SAMIDService.ear"~|~"MRL"~|~"BW"~|~"HawkEnabled"
"ADI_MRL_SAMIDService"~|~"ADI_MRL_SAMIDService.ear"~|~"MRL"~|~"BW"~|~"JmsProviderUrl"
"ADI_MRL_SAMIDService"~|~"ADI_MRL_SAMIDService.ear"~|~"MRL"~|~"BW"~|~"JmsSslProviderUrl"
"ADI_MRL_SAMIDService"~|~"ADI_MRL_SAMIDService.ear"~|~"MRL"~|~"BW"~|~"RemoteRvDaemon"
"ADI_MRL_SAMIDService"~|~"ADI_MRL_SAMIDService.ear"~|~"MRL"~|~"BW"~|~"RepoInstances"
"ADI_MRL_SAMIDService"~|~"ADI_MRL_SAMIDService.ear"~|~"MRL"~|~"BW"~|~"RvDaemon"
"ADI_MRL_SAMIDService"~|~"ADI_MRL_SAMIDService.ear"~|~"MRL"~|~"BW"~|~"RvNetwork"
"ADI_MRL_SAMIDService"~|~"ADI_MRL_SAMIDService.ear"~|~"MRL"~|~"BW"~|~"RvService"
"ADI_MRL_SAMIDService"~|~"ADI_MRL_SAMIDService.ear"~|~"MRL"~|~"BW"~|~"RvaHost"
"ADI_MRL_SAMIDService"~|~"ADI_MRL_SAMIDService.ear"~|~"MRL"~|~"BW"~|~"RvaPort"
"ADI_MRL_SAMIDService"~|~"ADI_MRL_SAMIDService.ear"~|~"MRL"~|~"BW"~|~"SAM_CORE/API/ConfCLMSSubscribe"
"ADI_MRL_SAMIDService"~|~"ADI_MRL_SAMIDService.ear"~|~"MRL"~|~"BW"~|~"SAM_CORE/API/ConfEnableHouse"
"ADI_MRL_SAMIDService"~|~"ADI_MRL_SAMIDService.ear"~|~"MRL"~|~"BW"~|~"SAM_CORE/API/ConfFirstTimeLogin"
"ADI_MRL_SAMIDService"~|~"ADI_MRL_SAMIDService.ear"~|~"MRL"~|~"BW"~|~"SAM_CORE/API/ConfHousekeeping"
"ADI_MRL_SAMIDService"~|~"ADI_MRL_SAMIDService.ear"~|~"MRL"~|~"BW"~|~"SAM_CORE/API/ConfSAMID"
"ADI_MRL_SAMIDService"~|~"ADI_MRL_SAMIDService.ear"~|~"MRL"~|~"BW"~|~"SAM_CORE/API/ConfSAMStatus"
"ADI_MRL_SAMIDService"~|~"ADI_MRL_SAMIDService.ear"~|~"MRL"~|~"BW"~|~"SAM_CORE/API/ConfSubscribe"
"ADI_MRL_SAMIDService"~|~"ADI_MRL_SAMIDService.ear"~|~"MRL"~|~"BW"~|~"SAM_CORE/API/ProvisioningPkg"
"ADI_MRL_SAMIDService"~|~"ADI_MRL_SAMIDService.ear"~|~"MRL"~|~"BW"~|~"SAM_CORE/API/PublishPkg"
"ADI_MRL_SAMIDService"~|~"ADI_MRL_SAMIDService.ear"~|~"MRL"~|~"BW"~|~"SAM_CORE/API/SAM_EDC_CLMS_SUBSCRIBE"
"ADI_MRL_SAMIDService"~|~"ADI_MRL_SAMIDService.ear"~|~"MRL"~|~"BW"~|~"SAM_CORE/API/SAM_EMAIL_HOUSEKEEPING"
"ADI_MRL_SAMIDService"~|~"ADI_MRL_SAMIDService.ear"~|~"MRL"~|~"BW"~|~"SAM_CORE/API/SAM_ENABLE_HOUSEKEEPING"
"ADI_MRL_SAMIDService"~|~"ADI_MRL_SAMIDService.ear"~|~"MRL"~|~"BW"~|~"SAM_CORE/API/SAM_FIND_CREATE"
"ADI_MRL_SAMIDService"~|~"ADI_MRL_SAMIDService.ear"~|~"MRL"~|~"BW"~|~"SAM_CORE/API/SAM_STATUS_UPD"
"ADI_MRL_SAMIDService"~|~"ADI_MRL_SAMIDService.ear"~|~"MRL"~|~"BW"~|~"SAM_CORE/Alerts/Action/ADD"
"ADI_MRL_SAMIDService"~|~"ADI_MRL_SAMIDService.ear"~|~"MRL"~|~"BW"~|~"SAM_CORE/Alerts/Action/DELETE"
"ADI_MRL_SAMIDService"~|~"ADI_MRL_SAMIDService.ear"~|~"MRL"~|~"BW"~|~"SAM_CORE/Alerts/Action/UPDATE"
"ADI_MRL_SAMIDService"~|~"ADI_MRL_SAMIDService.ear"~|~"MRL"~|~"BW"~|~"SAM_CORE/Alerts/GET_SAM_STATUS_ALERT"
"ADI_MRL_SAMIDService"~|~"ADI_MRL_SAMIDService.ear"~|~"MRL"~|~"BW"~|~"SAM_CORE/Alerts/SAM_FIRST_LOGIN_EMAIL_ALERT"
"ADI_MRL_SAMIDService"~|~"ADI_MRL_SAMIDService.ear"~|~"MRL"~|~"BW"~|~"SAM_CORE/Alerts/SAM_HOUSEKEEPING_DISABLE_ALERT"
"ADI_MRL_SAMIDService"~|~"ADI_MRL_SAMIDService.ear"~|~"MRL"~|~"BW"~|~"SAM_CORE/Alerts/SAM_HOUSEKEEPING_ENABLE_ALERT"
"ADI_MRL_SAMIDService"~|~"ADI_MRL_SAMIDService.ear"~|~"MRL"~|~"BW"~|~"SAM_CORE/Alerts/SAM_SUBSCRIBE_CLMS_ALERT"
"ADI_MRL_SAMIDService"~|~"ADI_MRL_SAMIDService.ear"~|~"MRL"~|~"BW"~|~"SAM_CORE/Alerts/SAM_SUBSCRIBE_EDC_ALERT"
"ADI_MRL_SAMIDService"~|~"ADI_MRL_SAMIDService.ear"~|~"MRL"~|~"BW"~|~"SAM_CORE/Alerts/SAM_USER_FIND_CREATE_ALERT"
"ADI_MRL_SAMIDService"~|~"ADI_MRL_SAMIDService.ear"~|~"MRL"~|~"BW"~|~"SAM_CORE/Connections/JDBC/CORE/ADBQueue"
"ADI_MRL_SAMIDService"~|~"ADI_MRL_SAMIDService.ear"~|~"MRL"~|~"BW"~|~"SAM_CORE/Connections/JDBC/CORE/ConnectionRetries"
"ADI_MRL_SAMIDService"~|~"ADI_MRL_SAMIDService.ear"~|~"MRL"~|~"BW"~|~"SAM_CORE/Connections/JDBC/CORE/JDBCDriver"
"ADI_MRL_SAMIDService"~|~"ADI_MRL_SAMIDService.ear"~|~"MRL"~|~"BW"~|~"SAM_CORE/Connections/JDBC/CORE/JDBCPassword"
"ADI_MRL_SAMIDService"~|~"ADI_MRL_SAMIDService.ear"~|~"MRL"~|~"BW"~|~"SAM_CORE/Connections/JDBC/CORE/JDBCTimeout"
"ADI_MRL_SAMIDService"~|~"ADI_MRL_SAMIDService.ear"~|~"MRL"~|~"BW"~|~"SAM_CORE/Connections/JDBC/CORE/JDBCURL"
"ADI_MRL_SAMIDService"~|~"ADI_MRL_SAMIDService.ear"~|~"MRL"~|~"BW"~|~"SAM_CORE/Connections/JDBC/CORE/JDBCUsername"
"ADI_MRL_SAMIDService"~|~"ADI_MRL_SAMIDService.ear"~|~"MRL"~|~"BW"~|~"SAM_CORE/Connections/JDBC/CORE/MaxConnections"
"ADI_MRL_SAMIDService"~|~"ADI_MRL_SAMIDService.ear"~|~"MRL"~|~"BW"~|~"SAM_CORE/Connections/JDBC/CORE/MaxRows"
"ADI_MRL_SAMIDService"~|~"ADI_MRL_SAMIDService.ear"~|~"MRL"~|~"BW"~|~"SAM_CORE/Connections/JDBC/CORE/PollingInterval"
"ADI_MRL_SAMIDService"~|~"ADI_MRL_SAMIDService.ear"~|~"MRL"~|~"BW"~|~"SAM_CORE/Connections/JDBC/CORE/Sequence"
"ADI_MRL_SAMIDService"~|~"ADI_MRL_SAMIDService.ear"~|~"MRL"~|~"BW"~|~"SAM_CORE/Connections/JMS/JMSURL"
"ADI_MRL_SAMIDService"~|~"ADI_MRL_SAMIDService.ear"~|~"MRL"~|~"BW"~|~"SAM_CORE/Connections/JMS/JNDIPassword"
"ADI_MRL_SAMIDService"~|~"ADI_MRL_SAMIDService.ear"~|~"MRL"~|~"BW"~|~"SAM_CORE/Connections/JMS/JNDIUrl"
"ADI_MRL_SAMIDService"~|~"ADI_MRL_SAMIDService.ear"~|~"MRL"~|~"BW"~|~"SAM_CORE/Connections/JMS/JNDIUserName"
"ADI_MRL_SAMIDService"~|~"ADI_MRL_SAMIDService.ear"~|~"MRL"~|~"BW"~|~"SAM_CORE/Connections/JMS/MaxSessions"
"ADI_MRL_SAMIDService"~|~"ADI_MRL_SAMIDService.ear"~|~"MRL"~|~"BW"~|~"SAM_CORE/Connections/JMS/Password"
"ADI_MRL_SAMIDService"~|~"ADI_MRL_SAMIDService.ear"~|~"MRL"~|~"BW"~|~"SAM_CORE/Connections/JMS/QueueConnectionFactoryName"
"ADI_MRL_SAMIDService"~|~"ADI_MRL_SAMIDService.ear"~|~"MRL"~|~"BW"~|~"SAM_CORE/Connections/JMS/TopicConnectionFactoryName"
"ADI_MRL_SAMIDService"~|~"ADI_MRL_SAMIDService.ear"~|~"MRL"~|~"BW"~|~"SAM_CORE/Connections/JMS/UserName"
"ADI_MRL_SAMIDService"~|~"ADI_MRL_SAMIDService.ear"~|~"MRL"~|~"BW"~|~"SAM_CORE/Constants/APITimeout"
"ADI_MRL_SAMIDService"~|~"ADI_MRL_SAMIDService.ear"~|~"MRL"~|~"BW"~|~"SAM_CORE/Constants/AppNames/CLMS"
"ADI_MRL_SAMIDService"~|~"ADI_MRL_SAMIDService.ear"~|~"MRL"~|~"BW"~|~"SAM_CORE/Constants/AppNames/INFORM"
"ADI_MRL_SAMIDService"~|~"ADI_MRL_SAMIDService.ear"~|~"MRL"~|~"BW"~|~"SAM_CORE/Constants/CORE/ErrorFlag"
"ADI_MRL_SAMIDService"~|~"ADI_MRL_SAMIDService.ear"~|~"MRL"~|~"BW"~|~"SAM_CORE/Constants/CORE/SuccessFlag"
"ADI_MRL_SAMIDService"~|~"ADI_MRL_SAMIDService.ear"~|~"MRL"~|~"BW"~|~"SAM_CORE/Constants/EndpointURL"
"ADI_MRL_SAMIDService"~|~"ADI_MRL_SAMIDService.ear"~|~"MRL"~|~"BW"~|~"SAM_CORE/Constants/ExostarID"
"ADI_MRL_SAMIDService"~|~"ADI_MRL_SAMIDService.ear"~|~"MRL"~|~"BW"~|~"SAM_CORE/Constants/ExostarIDExt"
"ADI_MRL_SAMIDService"~|~"ADI_MRL_SAMIDService.ear"~|~"MRL"~|~"BW"~|~"SAM_CORE/Constants/GroupID"
"ADI_MRL_SAMIDService"~|~"ADI_MRL_SAMIDService.ear"~|~"MRL"~|~"BW"~|~"SAM_CORE/Constants/Identity/Password"
"ADI_MRL_SAMIDService"~|~"ADI_MRL_SAMIDService.ear"~|~"MRL"~|~"BW"~|~"SAM_CORE/Constants/Identity/Username"
